epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7221,1.61545,2.13833,1.32956,0.63382,0.52,0.53469,0.31008,1.34408,1.90793,1.17262,0.000656085,0.000656085,0.000656085
2,92.9336,1.57458,1.46407,1.31543,0.38252,0.53158,0.4322,0.19122,1.64644,1.8563,1.3767,0.00129656,0.00129656,0.00129656
3,139.658,1.6172,1.48176,1.33308,0.6421,0.576,0.61267,0.33428,1.42648,3.60588,1.35265,0.00191064,0.00191064,0.00191064
4,257.413,1.56006,1.39133,1.32076,0.69814,0.56105,0.63158,0.38189,1.37267,1.418,1.25971,0.0018812,0.0018812,0.0018812
5,312.519,1.54566,1.3262,1.31204,0.76661,0.62582,0.71229,0.40509,1.48446,1.36117,1.28022,0.0018416,0.0018416,0.0018416
6,357.502,1.48389,1.27198,1.27936,0.58584,0.64421,0.61805,0.32107,1.5681,1.49645,1.35931,0.001802,0.001802,0.001802
7,403.61,1.45385,1.2442,1.25337,0.83458,0.65684,0.75145,0.45018,1.41068,1.31361,1.28986,0.0017624,0.0017624,0.0017624
8,449.379,1.4513,1.19867,1.24208,0.71816,0.68127,0.72822,0.41651,1.35692,1.24906,1.25275,0.0017228,0.0017228,0.0017228
9,587.93,1.41205,1.17921,1.25068,0.7157,0.64632,0.71867,0.42772,1.39412,1.29878,1.24852,0.0016832,0.0016832,0.0016832
10,632.037,1.44095,1.1877,1.24396,0.70417,0.66148,0.71766,0.4455,1.19108,1.17779,1.15959,0.0016436,0.0016436,0.0016436
11,677.85,1.38044,1.10707,1.22127,0.72718,0.67897,0.75502,0.4295,1.33488,1.20516,1.26689,0.001604,0.001604,0.001604
12,722.975,1.37751,1.12256,1.22195,0.76537,0.73138,0.77669,0.45654,1.35304,1.18752,1.25546,0.0015644,0.0015644,0.0015644
13,768.972,1.33867,1.05468,1.19996,0.82321,0.70737,0.78959,0.48559,1.23136,1.04414,1.1666,0.0015248,0.0015248,0.0015248
14,819.445,1.32503,1.04353,1.20094,0.81123,0.66947,0.79422,0.52259,1.14956,1.09619,1.14316,0.0014852,0.0014852,0.0014852
15,943.013,1.26953,1.00754,1.17454,0.72804,0.73895,0.76995,0.49397,1.16436,1.05115,1.16548,0.0014456,0.0014456,0.0014456
16,987.272,1.2608,1.01831,1.17546,0.71145,0.70526,0.74913,0.44063,1.36149,1.25068,1.2344,0.001406,0.001406,0.001406
17,1034.38,1.28495,1.00705,1.18362,0.81032,0.68802,0.7975,0.48603,1.32691,1.11673,1.22141,0.0013664,0.0013664,0.0013664
18,1081.62,1.27105,0.99253,1.17438,0.79203,0.68552,0.78632,0.50713,1.25718,1.12842,1.18671,0.0013268,0.0013268,0.0013268
19,1127.81,1.25218,0.97535,1.16325,0.73296,0.74105,0.78317,0.51196,1.15903,1.0929,1.18673,0.0012872,0.0012872,0.0012872
20,1243.96,1.23598,0.95235,1.15797,0.7416,0.76632,0.81258,0.52455,1.19174,1.04481,1.22973,0.0012476,0.0012476,0.0012476
21,1288.25,1.25862,1.01749,1.17078,0.76558,0.65661,0.74768,0.46563,1.19392,1.13419,1.17168,0.001208,0.001208,0.001208
22,1339.37,1.23926,0.96847,1.1541,0.80616,0.73547,0.82433,0.52827,1.16181,1.04198,1.15372,0.0011684,0.0011684,0.0011684
23,1386.75,1.22892,0.97822,1.15339,0.78009,0.70199,0.79571,0.52126,1.16715,0.99374,1.15506,0.0011288,0.0011288,0.0011288
24,1432.95,1.20979,0.93449,1.14345,0.75006,0.75474,0.79266,0.53632,1.11594,1.08462,1.12978,0.0010892,0.0010892,0.0010892
25,1555.41,1.20686,0.926,1.14986,0.88056,0.72105,0.84557,0.5603,1.17815,0.91403,1.16119,0.0010496,0.0010496,0.0010496
26,1598.97,1.20643,0.91242,1.13431,0.83423,0.76421,0.85109,0.55731,1.0848,0.89857,1.09574,0.00101,0.00101,0.00101
27,1646.09,1.21262,0.8792,1.13426,0.81619,0.75158,0.83878,0.57159,1.11275,0.89349,1.11307,0.0009704,0.0009704,0.0009704
28,1693.97,1.18495,0.90669,1.13169,0.76433,0.734,0.81588,0.5582,1.0794,0.95643,1.11533,0.0009308,0.0009308,0.0009308
29,1740.22,1.14334,0.87933,1.11691,0.74767,0.76729,0.81254,0.55655,1.08145,0.99861,1.10323,0.0008912,0.0008912,0.0008912
30,1786.62,1.18913,0.87427,1.1259,0.79719,0.72526,0.82715,0.54177,1.18119,0.98457,1.13839,0.0008516,0.0008516,0.0008516
31,1833.22,1.17187,0.8667,1.13988,0.7336,0.76632,0.81429,0.55725,1.09295,0.98797,1.10387,0.000812,0.000812,0.000812
32,1949.18,1.14159,0.83522,1.09988,0.84883,0.76247,0.85381,0.55557,1.14923,0.87271,1.18214,0.0007724,0.0007724,0.0007724
33,1994.1,1.12634,0.83866,1.10787,0.85778,0.73645,0.84194,0.57865,1.08025,0.8505,1.11583,0.0007328,0.0007328,0.0007328
34,2041.16,1.11867,0.82703,1.10429,0.78781,0.77053,0.84024,0.5569,1.14284,0.93858,1.13754,0.0006932,0.0006932,0.0006932
35,2094.54,1.08661,0.79891,1.10189,0.89212,0.73789,0.85425,0.563,1.15553,0.84039,1.18011,0.0006536,0.0006536,0.0006536
36,2145.07,1.10672,0.81131,1.10301,0.75875,0.78462,0.81413,0.55897,1.04778,0.87988,1.11307,0.000614,0.000614,0.000614
37,2266.32,1.08921,0.79594,1.08871,0.81806,0.72413,0.82546,0.52852,1.20316,0.9354,1.1983,0.0005744,0.0005744,0.0005744
38,2309.67,1.09569,0.78473,1.08479,0.77431,0.78366,0.82309,0.56531,1.09294,0.95022,1.12557,0.0005348,0.0005348,0.0005348
39,2355.35,1.0918,0.78746,1.07992,0.79461,0.76156,0.83958,0.55712,1.13233,0.89678,1.17741,0.0004952,0.0004952,0.0004952
40,2402.07,1.06356,0.77181,1.07932,0.83919,0.75259,0.85335,0.58648,1.0643,0.85509,1.12304,0.0004556,0.0004556,0.0004556
