epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.239,1.34501,1.13307,1.53456,0.60699,0.65842,0.5939,0.34171,1.48035,1.38111,1.80085,0.000656085,0.000656085,0.000656085
2,510.667,1.33939,1.12913,1.49295,0.6216,0.64737,0.66349,0.37972,1.43451,1.46305,1.75385,0.00129656,0.00129656,0.00129656
3,784.765,1.35622,1.18644,1.47661,0.59997,0.48783,0.55982,0.30954,1.581,1.73686,1.82026,0.00191064,0.00191064,0.00191064
4,983.834,1.36832,1.20605,1.48894,0.54352,0.60162,0.57601,0.31808,1.59366,1.58698,1.78352,0.0018812,0.0018812,0.0018812
5,1157.54,1.3522,1.21014,1.48532,0.60727,0.63368,0.63118,0.36729,1.45515,1.575,1.80051,0.0018416,0.0018416,0.0018416
6,1607.86,1.31231,1.15087,1.44941,0.65306,0.63474,0.68969,0.38217,1.42323,1.45157,1.71741,0.001802,0.001802,0.001802
7,2078.97,1.3144,1.13862,1.44899,0.64365,0.61579,0.68639,0.3899,1.44873,1.3612,1.76498,0.0017624,0.0017624,0.0017624
8,2530.33,1.2974,1.13267,1.43617,0.65753,0.68714,0.70452,0.42175,1.3207,1.46112,1.622,0.0017228,0.0017228,0.0017228
9,2881.87,1.29311,1.10999,1.44918,0.79919,0.64936,0.762,0.45086,1.34477,1.21742,1.62376,0.0016832,0.0016832,0.0016832
10,3119.76,1.29456,1.07848,1.42149,0.72104,0.69109,0.76816,0.4658,1.30054,1.27228,1.63429,0.0016436,0.0016436,0.0016436
11,3591.63,1.25424,1.05101,1.41135,0.72048,0.67684,0.77099,0.47361,1.30784,1.16951,1.59658,0.001604,0.001604,0.001604
12,4070.33,1.27019,1.05886,1.40372,0.72436,0.67219,0.71953,0.43407,1.3635,1.44462,1.64425,0.0015644,0.0015644,0.0015644
13,4541.73,1.22089,1.03373,1.38277,0.68178,0.67207,0.72763,0.40923,1.41713,1.36995,1.71527,0.0015248,0.0015248,0.0015248
14,5009.83,1.21792,1.01397,1.39765,0.60747,0.72947,0.70278,0.42543,1.3037,1.48695,1.64681,0.0014852,0.0014852,0.0014852
15,34914.4,1.19646,0.99345,1.3902,0.85416,0.73158,0.83053,0.51898,1.22312,1.05411,1.56482,0.0014456,0.0014456,0.0014456
16,35097.8,1.18257,0.97493,1.3638,0.68036,0.70211,0.75191,0.44968,1.3168,1.3204,1.62378,0.001406,0.001406,0.001406
17,35284.3,1.18467,0.97289,1.36071,0.77571,0.72,0.80502,0.49395,1.2965,1.14052,1.59042,0.0013664,0.0013664,0.0013664
18,35491.6,1.17516,0.96221,1.36627,0.8089,0.73518,0.81948,0.52765,1.22906,1.04185,1.5389,0.0013268,0.0013268,0.0013268
19,35835.5,1.15962,0.9317,1.34241,0.70061,0.76115,0.75094,0.49304,1.19391,1.05785,1.55517,0.0012872,0.0012872,0.0012872
20,36253.4,1.17442,0.92713,1.35503,0.75391,0.78526,0.80714,0.52362,1.22545,1.00175,1.56014,0.0012476,0.0012476,0.0012476
